"first_name","last_name","rating","string_agg"
"Bob","Fawcett","G","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China"
"Greta","Keitel","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Jim","Mostel","PG-13","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
"Jude","Cruise","R","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention"
"Morgan","Williams","NC-17","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia"
"Kenneth","Hoffman","PG","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Burt","Dukakis","NC-17","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
"Bob","Fawcett","NC-17","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory"
"Jeff","Silverstone","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Chris","Depp","G","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China"
"Ray","Johansson","NC-17","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory54639 A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
"Susan","Davis","R","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India"
"Minnie","Zellweger","G","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China"
"Henry","Berry","NC-17","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Kirsten","Paltrow","PG","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Richard","Penn","NC-17","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Christopher","Berry","PG","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies"
"Cameron","Streep","NC-17","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory"
"Lucille","Tracy","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Cuba","Allen","R","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia"
"Burt","Posey","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Karl","Berry","R","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention"
"Rock","Dukakis","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Oprah","Kilmer","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Jude","Cruise","NC-17","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
"Sidney","Crowe","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Mena","Hopper","NC-17","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
"Johnny","Cage","G","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
"Nick","Wahlberg","NC-17","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory"
"Sean","Guiness","G","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China54639 A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
"Johnny","Cage","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Oprah","Kilmer","PG-13","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
"Karl","Berry","NC-17","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
"Christian","Gable","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Val","Bolger","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
"Sidney","Crowe","NC-17","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
"Kenneth","Torn","PG","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies"
"Morgan","Williams","PG","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Matthew","Carrey","G","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico"
"Jada","Ryder","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
"Woody","Hoffman","NC-17","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia"
"Gina","Degeneres","NC-17","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Gene","Mckellen","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Greta","Malden","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
"Albert","Nolte","PG-13","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat"
"Jodie","Degeneres","G","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
"Sandra","Kilmer","PG","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Christian","Gable","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Rip","Winslet","NC-17","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Sandra","Peck","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Michael","Bening","G","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
"William","Hackman","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Jon","Chase","PG","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies"
"Kevin","Bloom","R","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention"
"Reese","West","PG","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Judy","Dean","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China"
"Meryl","Allen","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat54639 A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat"
"Fay","Winslet","G","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
"Sylvester","Dern","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Mena","Temple","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Minnie","Zellweger","NC-17","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia"
"Adam","Hopper","NC-17","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Sean","Guiness","R","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia"
"Kenneth","Paltrow","NC-17","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
"Rip","Winslet","R","A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention"
"Renee","Tracy","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China54639 A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
"Mary","Keitel","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Penelope","Guiness","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies"
"Dan","Streep","R","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia"
"Cameron","Zellweger","PG-13","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat"
"Kenneth","Pesci","G","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
"Mena","Temple","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Rip","Winslet","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
